192.168.0.100 - - [09/Sep/2012:10:19:26 +0200] "GET /temps/ HTTP/1.1" 200 6835 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
192.168.0.174 - - [09/Sep/2012:10:19:29 +0200] "GET /temps/SoutenancesPFE.html HTTP/1.1" 200 93333 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;  SLCC1;  .NET CLR 1.1.4322;  .NET CLR 2.0.40607;  .NET CLR 3.0.04506.648)"
192.168.0.174 - - [09/Sep/2012:10:19:34 +0200] "GET /temps/style_pfe.css HTTP/1.1" 200 895 "http://intranet-if.insa-lyon.fr/temps/SoutenancesPFE.html" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;  SLCC1;  .NET CLR 1.1.4322;  .NET CLR 2.0.40607;  .NET CLR 3.0.04506.648)"
192.168.0.100 - - [09/Sep/2012:10:19:35 +0200] "GET /stages/Listestage.php HTTP/1.1" 200 74697 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
192.168.0.175 - - [09/Sep/2012:10:20:00 +0200] "GET /temps/4IF1.ics HTTP/1.1" 304 - "-" "iOS/5.1.1 (9B208) dataaccessd/1.0"
192.168.0.7 - - [09/Sep/2012:10:20:59 +0200] "GET /temps/4IF13.html HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
192.168.0.100 - - [09/Sep/2012:10:21:35 +0200] "GET /stages/ListePFE.php HTTP/1.1" 200 81 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
192.168.0.100 - - [09/Sep/2012:10:21:43 +0200] "GET /temps/style_pfe.css HTTP/1.1" 200 895 "http://intranet-if.insa-lyon.fr/temps/SoutenancesPFE.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
192.168.0.100 - - [09/Sep/2012:10:21:43 +0200] "GET /temps/loupe.gif HTTP/1.1" 200 326 "http://intranet-if.insa-lyon.fr/temps/SoutenancesPFE.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
192.168.0.100 - - [09/Sep/2012:10:21:42 +0200] "GET /temps/SoutenancesPFE.html HTTP/1.1" 200 93333 "http://intranet-if.insa-lyon.fr/SiteWebIF/Intranet-etudiant.php" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
